gender,genderLooking,age,agecode,counts_pictures,counts_profileVisits,counts_kisses,counts_fans,flirtInterests_chat,flirtInterests_friends,flirtInterests_date
Female,Male,22,over21,9,21242,1004,20,true,true,true
Female,None,24,over21,3,21368,844,2,true,true,false
Female,Male,26,over21,2,399,55,0,false,true,false
Female,Male,21,under21,2,2971,98,0,true,false,false
Female,Male,25,over21,8,9959,170,2,true,true,false
Female,Male,19,under21,19,9992,697,29,true,true,false
Female,None,21,under21,1,6496,263,13,true,false,false
Female,Male,20,under21,3,34818,1680,4,true,false,false
Female,Male,20,under21,6,9664,268,0,true,true,false
Female,Male,24,over21,9,8369,223,2,true,true,false
Female,Male,26,over21,22,31079,1754,8,true,true,false
Female,Male,21,under21,16,16088,1058,0,true,false,false
Female,Male,20,under21,5,4954,190,0,false,true,false
Female,Male,23,over21,3,16063,914,0,true,true,false
Female,Male,25,over21,5,26553,1428,2,true,false,false
Female,Male,20,under21,13,16341,754,0,false,false,false
Female,Male,25,over21,4,6092,115,7,false,true,true
Female,Male,25,over21,4,1371,53,0,true,true,false
Female,None,22,over21,2,16408,1564,55,false,false,false
Female,Male,19,under21,6,3529,57,0,true,true,false
Female,Male,24,over21,9,16851,1068,0,true,true,true
Female,Male,23,over21,8,38702,945,0,true,true,false
Female,None,21,under21,23,12443,1301,1,true,true,true
Female,Male,21,under21,5,1476,40,0,true,false,false
Female,Male,19,under21,16,29916,1725,35,true,true,false
Female,Male,23,over21,8,18810,851,2,true,true,true
Female,Male,23,over21,2,979,121,0,false,false,false
Female,Male,24,over21,11,17097,1188,1,true,true,true
Female,Male,23,over21,9,2642,104,2,true,true,false
Female,Male,19,under21,5,5348,152,0,false,true,false
Female,Male,21,under21,4,9386,245,1,true,true,false
Female,Male,21,under21,16,5954,61,1,false,false,false
Female,Male,21,under21,9,19018,757,0,true,true,false
Female,None,22,over21,5,14885,290,0,true,true,true
Female,Male,20,under21,5,36179,1484,2,true,true,true
Female,None,22,over21,4,1025,14,6,true,false,false
Female,Male,20,under21,3,19073,1120,0,true,true,false
Female,Male,20,under21,30,17525,703,34,true,true,false
Female,Male,22,over21,8,6840,335,0,false,true,false
Female,Male,23,over21,19,42567,2108,1,true,false,false
Female,Male,25,over21,12,4822,91,0,true,false,false
Female,Male,21,under21,6,4847,197,0,true,true,false
Female,Male,21,under21,21,11286,455,36,true,true,true
Female,Male,21,under21,7,706,23,0,true,true,false
Female,Male,21,under21,15,6676,340,0,true,true,false
Female,Male,19,under21,8,25862,1911,33,true,true,true
Female,None,19,under21,3,10162,372,2,true,false,false
Female,Male,22,over21,5,2202,86,6,true,false,false
Female,Male,23,over21,2,8732,306,2,true,true,false
Female,Male,21,under21,6,4232,59,33,false,true,false
Female,Male,24,over21,2,584,22,0,true,true,false
Female,None,19,under21,6,8046,881,0,true,false,false
Female,Male,25,over21,1,3941,131,0,false,true,true
Female,Male,21,under21,0,13355,458,0,false,false,true
Female,Male,21,under21,4,14019,664,1,false,true,false
Female,Male,20,under21,23,12981,412,0,true,true,true
Female,Male,24,over21,1,7915,116,53,true,true,true
Female,Male,24,over21,5,1859,65,2,true,false,false
Female,Male,23,over21,26,17117,415,7,true,true,true
Female,None,22,over21,6,9855,397,7,true,true,false
Female,Male,19,under21,6,5729,318,12,false,false,true
Female,Male,19,under21,3,6836,178,0,true,true,false
Female,Male,21,under21,1,10339,236,0,true,false,false
Female,Male,22,over21,30,17883,1180,1,true,true,false
Female,Male,21,under21,12,1267,79,0,false,false,false
Female,Male,19,under21,3,35692,741,0,true,true,true
Female,Male,19,under21,4,9263,632,2,false,true,false
Female,Male,20,under21,6,16104,393,4,true,true,false
Female,Male,22,over21,10,6187,270,2,false,true,false
Female,None,20,under21,5,34521,1484,1,true,true,false
Female,None,23,over21,4,3379,112,9,true,true,false
Female,Male,20,under21,2,10467,187,0,true,false,true
Female,Male,25,over21,6,1289,55,1,false,true,false
Female,Male,25,over21,8,7055,200,0,false,false,false
Female,Male,23,over21,3,3629,79,1,true,true,true
Female,None,24,over21,18,2540,66,0,true,true,true
Female,Male,22,over21,2,7689,347,0,false,true,false
Female,Male,22,over21,8,6156,220,1,true,true,false
Female,Male,21,under21,5,6613,132,0,true,true,true
Female,None,20,under21,5,2412,104,0,true,false,false
Female,Male,20,under21,29,20567,1133,41,false,true,false
Female,Male,25,over21,7,15664,270,0,false,true,false
Female,Male,21,under21,7,7091,346,5,true,true,true
Female,Male,24,over21,19,18893,1186,37,false,false,true
Female,Male,25,over21,1,25835,1315,1,false,true,false
Female,Male,22,over21,3,5003,263,0,true,true,true
Female,Male,23,over21,4,26955,1167,0,true,true,true
Female,Male,19,under21,7,1318,15,0,true,true,true
Female,None,23,over21,2,4196,661,2,true,true,false
Female,Male,19,under21,9,13678,657,0,false,true,false
Female,Male,20,under21,5,12064,659,5,true,true,true
Female,None,25,over21,6,4033,27,2,true,true,false
Female,Male,22,over21,12,13923,987,2,true,true,true
Female,None,22,over21,8,4938,426,0,true,true,false
Female,Male,24,over21,5,10133,347,0,true,true,true
Female,Male,21,under21,6,5435,263,0,true,false,false
Female,Male,25,over21,9,1808,66,1,true,true,true
Female,None,21,under21,1,1471,38,0,false,true,false
Female,Male,25,over21,3,6641,306,3,true,false,false
Female,Male,21,under21,4,3803,53,3,true,true,false
Female,Male,25,over21,5,21928,835,0,true,true,true
Female,None,24,over21,6,6059,219,2,true,true,false
Female,Male,21,under21,21,35180,1222,0,true,false,false
Female,None,23,over21,0,754,39,0,true,false,false
Female,Male,21,under21,2,1597,30,1,true,true,false
Female,Male,21,under21,8,32036,1185,7,false,true,false
Female,Male,23,over21,2,6782,331,0,false,false,false
Female,Male,23,over21,11,5184,161,4,false,true,false
Female,None,20,under21,6,7204,181,0,false,true,false
Female,Male,22,over21,2,2135,155,0,true,true,false
Female,Male,22,over21,3,619,9,0,true,false,false
Female,Male,20,under21,5,23160,905,0,false,true,false
Female,None,22,over21,3,32523,711,5,true,true,true
Female,Male,26,over21,5,25459,1004,31,true,true,true
Female,Male,20,under21,7,4644,91,0,true,true,true
Female,Male,23,over21,1,6352,214,0,false,true,false
Female,Male,20,under21,5,12034,1073,22,true,false,false
Female,Male,20,under21,3,9370,1414,5,true,true,true
Female,None,26,over21,0,156,13,8,true,false,false
Female,Male,20,under21,9,1269,17,0,false,false,false
Female,Male,19,under21,2,3343,113,110,true,false,false
Female,Male,19,under21,2,6542,313,0,true,true,true
Female,Male,23,over21,12,8782,314,0,true,true,true
Female,None,19,under21,17,6358,176,1,true,false,false
Female,Male,19,under21,11,7619,188,1,false,true,false
Female,Male,24,over21,4,1523,43,0,true,true,true
Female,Male,25,over21,3,3511,69,1,true,true,true
Female,Male,24,over21,11,6640,116,8,true,true,true
Female,Male,21,under21,4,9338,436,39,true,false,true
Female,Male,22,over21,6,18192,1054,1,true,false,false
Female,Male,19,under21,7,5258,133,1,true,true,true
Female,None,19,under21,7,9352,263,0,true,false,false
Female,Male,22,over21,1,6814,231,2,true,true,true
Female,Male,21,under21,4,11292,0,0,false,false,false
Female,Male,22,over21,11,18391,1222,4,false,false,true
Female,Male,21,under21,3,607,26,0,true,true,true
Female,None,25,over21,4,1547,8,0,true,true,false
Female,Male,19,under21,17,11831,883,2,true,true,false
Female,Male,20,under21,6,519,8,0,false,true,false
Female,Male,23,over21,3,3500,154,0,false,false,false
Female,Male,20,under21,9,8834,413,2,false,true,false
Female,Male,20,under21,4,5733,297,1,true,false,false
Female,Male,22,over21,2,9933,194,4,true,true,true
Female,Male,24,over21,21,7030,177,13,false,false,false
Female,Male,24,over21,13,11843,533,1,true,true,false
Female,Male,19,under21,9,22809,912,0,true,true,true
Female,None,24,over21,10,12199,282,0,true,true,true
Female,Male,21,under21,25,13363,202,2,true,true,false
Female,Male,20,under21,6,22016,827,7,true,false,false
Female,None,22,over21,6,7677,234,0,false,false,true
Female,None,22,over21,3,84,0,0,false,false,true
Female,Male,22,over21,12,5112,106,0,true,true,false
Female,Male,19,under21,7,4199,71,1,true,true,true
Female,Male,19,under21,10,3215,72,1,true,true,false
Female,None,22,over21,9,10947,326,29,false,true,false
Female,Male,19,under21,4,1554,67,0,false,true,true
Female,Male,22,over21,8,6682,181,0,true,true,true
Female,Male,23,over21,6,717,19,1,false,false,true
Female,Male,25,over21,9,17416,1791,4,true,true,false
Female,Male,22,over21,3,1382,11,0,false,true,false
Female,Male,22,over21,2,9826,494,0,true,true,false
Female,Male,19,under21,3,2279,35,1,true,false,false
Female,Male,22,over21,1,1646,24,0,false,false,false
Female,Male,19,under21,4,4442,217,0,false,false,false
Female,Male,21,under21,12,43587,1425,1,true,true,true
Female,Male,25,over21,5,4016,72,1,true,true,true
Female,Male,22,over21,14,12495,650,0,true,true,false
Female,Male,20,under21,22,15079,447,0,false,true,true
Female,Male,25,over21,6,1345,36,2,false,true,false
Female,Female,22,over21,4,1517,52,0,false,true,false
Female,Male,22,over21,1,435,10,0,false,false,false
Female,Male,22,over21,4,12249,345,0,true,false,false
Female,Male,22,over21,3,17888,777,0,true,true,true
Female,Male,20,under21,23,3563,56,1,true,false,false
Female,Male,24,over21,6,3075,131,0,true,true,true
Female,Male,19,under21,4,3705,50,0,true,true,false
Female,Male,19,under21,1,1378,43,44,true,true,true
Female,Male,20,under21,11,5374,137,0,false,true,true
Female,Male,19,under21,29,7312,121,1,false,true,false
Female,Male,26,over21,1,475,101,0,false,false,true
Female,Male,23,over21,4,9206,363,6,false,true,true
Female,Male,25,over21,11,4139,104,3,true,true,true
Female,Male,24,over21,8,1815,41,0,true,true,true
Female,Male,20,under21,5,4413,62,4,true,true,false
Female,Male,19,under21,11,4950,34,0,true,true,true
Female,Male,20,under21,12,1068,34,0,true,true,false
Female,Male,19,under21,6,9112,200,0,true,true,false
Female,Male,19,under21,3,8301,175,0,false,true,false
Female,Male,21,under21,2,32816,857,1,true,true,true
Female,Male,20,under21,16,13141,471,7,false,true,false
Female,Male,24,over21,15,16303,1613,0,false,true,false
Female,Male,19,under21,1,3334,93,4,true,true,false
Female,Female,22,over21,7,4405,144,4,true,false,true
Female,None,22,over21,3,2365,98,0,true,true,false
Female,None,25,over21,3,19876,583,174,true,true,false
Female,Male,21,under21,22,5094,93,6,true,true,false
Female,Male,20,under21,8,9367,342,2,false,false,true
Female,Male,24,over21,5,3595,121,0,false,true,false
Female,Male,21,under21,13,13544,233,0,true,true,true
Female,Male,24,over21,9,23192,1224,5,true,true,false
Female,Male,24,over21,6,2257,23,1,false,true,false
Female,Male,22,over21,5,4558,128,0,true,false,false
Female,None,20,under21,2,9790,591,2,false,false,true
Female,Male,25,over21,29,14147,529,0,true,true,false
Female,Male,20,under21,5,27206,1902,0,false,false,true
Female,Male,26,over21,0,622,35,2,false,true,false
Female,Male,21,under21,2,443,22,0,true,true,false
Female,Male,23,over21,8,7026,289,4,false,true,false
Female,Male,23,over21,8,13966,455,0,false,true,false
Female,Male,22,over21,4,462,9,1,true,true,false
Female,Male,19,under21,6,333,8,1,true,false,false
Female,None,21,under21,5,1497,97,1,true,false,false
Female,Male,21,under21,5,25164,1470,0,true,true,false
Female,Male,24,over21,6,6132,127,0,false,true,false
Female,Male,22,over21,4,13434,646,0,false,true,false
Female,Male,20,under21,5,11861,288,0,false,false,false
Female,Male,24,over21,5,1865,64,0,false,false,false
Female,Male,21,under21,25,22696,713,0,true,true,true
Female,Male,20,under21,12,7259,230,0,true,true,true
Female,None,25,over21,0,189,2,0,true,false,true
Female,Male,20,under21,6,11006,320,0,true,true,false
Female,Male,19,under21,6,10213,309,0,true,false,false
Female,Male,19,under21,2,63,1,5,false,false,false
Female,Male,22,over21,5,9164,208,4,true,true,true
Female,Male,24,over21,26,16834,437,0,true,true,false
Female,Male,23,over21,12,12888,403,0,true,true,false
Female,Male,25,over21,16,1780,36,0,true,true,true
Female,Male,23,over21,2,351,13,0,false,true,false
Female,None,21,under21,10,8885,186,59,false,false,true
Female,Male,20,under21,5,2728,45,0,false,false,true
Female,Male,23,over21,3,2410,85,0,true,false,false
Female,Male,24,over21,5,6645,295,0,false,true,false
Female,Male,21,under21,4,5074,84,1,false,true,true
